;GO:0043407;GO:0007173;GO:0038096;GO:0006401;GO:0043152;GO:0001942;GO:0070588;GO:0016055;GO:0070207;GO:0035754;GO:0035556;GO:0050830;GO:0010592;GO:0043615;GO:0071805;GO:0090501;GO:0050829;GO:0030041;GO:0007224;GO:0043312;GO:1900026;GO:0001581;GO:0006699;GO:0006898;GO:0061844;GO:0050982;GO:0002227;GO:0006707;GO:0048013;GO:0034314;GO:0071468;GO:0035725;GO:0030178;GO:0018105
GO:0061844;0.0;0.0;0.38313020667385117;0.0;0.7510486533375921;0.0;0.0;0.0;0.0;0.29627334816092965;0.0;0.6004861292695374;0.0;0.0;0.0;0.0;0.596522538441037;0.0;0.0;0.4360833183789444;0.0;0.15635766986272984;0.0;0.0;1.0;0.42331200639522226;0.42596628785281365;0.0;0.0;0.0;0.1767643708771814;0.0;0.0;0.0
GO:0050982;0.0;0.0;0.0;0.0;0.3535811365794576;0.0;0.0;0.0;0.0;0.0;0.0;0.4363285525043453;0.0;0.0;0.0;0.0;0.43352685889913517;0.0;0.0;0.0;0.0;0.4327653981722319;0.0;0.0;0.42331200639522226;1.0;0.18002233765438563;0.0;0.0;0.0;0.42415051600467657;0.0;0.0;0.0
GO:0002227;0.0;0.0;0.345537403336329;0.0;0.3628929866110805;0.0;0.0;0.0;0.0;0.2732818814202241;0.0;0.44195812424497777;0.0;0.0;0.0;0.0;0.4393149746704991;0.0;0.0;0.3880324960172414;0.0;0.145061476140454;0.0;0.0;0.42596628785281365;0.18002233765438563;1.0;0.0;0.0;0.0;0.1624620199450083;0.0;0.0;0.0
GO:0006707;0.0;0.0;0.0;0.6150698969814522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21076055593090717;0.0;0.0;0.0;0.0;0.0;0.0;0.6167893747231553;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.11373956989312534
GO:0048013;0.08600259920359293;0.6374718771077069;0.39037055530602793;0.029600295798290946;0.0;0.0;0.0;0.42435359233236997;0.024250039016390085;0.021458197157809184;0.31754467850177054;0.0;0.07610325158856145;0.021458197157809184;0.028453721257739057;0.02825555697840355;0.0;0.0243221252937934;0.36743303691946294;0.031907952198834036;0.0800541281140144;0.0;0.024175780367111;0.0;0.0;0.0;0.0;0.0;1.0;0.07792861587242146;0.02247638661534593;0.0;0.0925706593945503;0.028674378765410288
GO:0034314;0.07742535040194483;0.07545594335985083;0.1959863209003512;0.02633190525729825;0.0;0.0;0.0;0.08766173430138746;0.18601625883094028;0.01968676996160056;0.10385823264421895;0.0;0.5274442918769043;0.01968676996160056;0.02542065798400764;0.025262371681231917;0.0;0.6618294923206113;0.07707057980907597;0.02814249939683547;0.4217122024795024;0.0;0.021950519573941625;0.0;0.0;0.0;0.0;0.0;0.07792861587242146;1.0;0.02054044623664236;0.0;0.08270840391110157;0.025596634727517255
GO:0071468;0.0;0.0218054670890184;0.023407851100751942;0.02457368084046926;0.15027374614609906;0.0;0.0;0.025092239146645663;0.020769490860343066;0.01868714032575525;0.029358481352004768;0.1816070755531566;0.0;0.01868714032575525;0.023778223686460598;0.02363967470695421;0.18056738995306856;0.02082234684436629;0.02224386726545036;0.026143348024288474;0.0;0.14024571157025076;0.020714994840789015;0.0;0.1767643708771814;0.42415051600467657;0.1624620199450083;0.0;0.02247638661534593;0.02054044623664236;1.0;0.0;0.0;0.023932126413265763
GO:0035725;0.0;0.0;0.0;0.0;0.0;0.0;0.71368619712376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.768661101263358;0.0;0.0;0.0;0.0;0.333502863087438;0.0;0.0;0.0;0.3126311039492443;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0030178;0.5279976416520401;0.08910218958143741;0.30433215499370575;0.0;0.0;0.0;0.0;0.10663495306233148;0.0;0.0;0.1315995196535931;0.0;0.0806552032145233;0.0;0.0;0.0;0.0;0.0;0.09136239827265598;0.0;0.08510666311002396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0925706593945503;0.08270840391110157;0.0;0.0;1.0;0.0
GO:0018105;0.0;0.02759133675389951;0.030207911232185313;0.23202037356041438;0.0;0.0;0.0;0.03307298115982556;0.02595329917554738;0.0227811515667553;0.040908313499199704;0.0;0.0;0.0227811515667553;0.03082757767215144;0.17809427434471498;0.0;0.026035884626992783;0.02829701778053261;0.034923701026438846;0.0;0.0;0.12204957387597853;0.0;0.0;0.0;0.0;0.11373956989312534;0.028674378765410288;0.025596634727517255;0.023932126413265763;0.0;0.0;1.0
