Module	SS	value
M8.76	AIC	69.23
M8.76	DAVID	15.384615384615385
M8.75	DF	84.62
M8.75	Ganesan	84.62
M8.75	LC	84.62
M8.75	PS	84.62
M8.75	Zhou	84.62
M8.75	Resnik	76.92
M8.75	Lin	76.92
M8.75	Nunivers	69.23
M8.75	AIC	84.62
M8.75	DAVID	23.076923076923077
M9.29	DF	37.50
M9.29	Ganesan	46.88
M9.29	LC	50.00
M9.29	PS	46.88
M9.29	Zhou	50.00
M9.29	Resnik	46.88
M9.29	Lin	37.50
M9.29	Nunivers	40.62
M9.29	AIC	37.50
M9.29	DAVID	0.0
M8.74	DF	61.54
M8.74	Ganesan	69.23
M8.74	LC	69.23
M8.74	PS	69.23
M8.74	Zhou	69.23
M8.74	Resnik	38.46
M8.74	Lin	38.46
M8.74	Nunivers	61.54
M8.74	AIC	69.23
M8.74	DAVID	0.0
M9.28	DF	28.89
M9.28	Ganesan	44.44
M9.28	LC	44.44
M9.28	PS	44.44
M9.28	Zhou	44.44
M9.28	Resnik	40.00
M9.28	Lin	33.33
M9.28	Nunivers	33.33
M9.28	AIC	44.44
M9.28	DAVID	11.11111111111111
M8.73	DF	0.00
M8.73	Ganesan	50.00
M8.73	LC	50.00
M8.73	PS	50.00
M8.73	Zhou	50.00
M8.73	Resnik	35.71
M8.73	Lin	35.71
M8.73	Nunivers	0.00
M8.73	AIC	0.00
M8.73	DAVID	7.142857142857142
M9.27	DF	59.57
M9.27	Ganesan	57.45
M9.27	LC	63.83
M9.27	PS	63.83
M9.27	Zhou	63.83
M9.27	Resnik	57.45
M9.27	Lin	44.68
M9.27	Nunivers	59.57
M9.27	AIC	59.57
M9.27	DAVID	6.382978723404255
M8.72	DF	57.14
M8.72	Ganesan	28.57
M8.72	LC	57.14
M8.72	PS	42.86
M8.72	Zhou	57.14
M8.72	Resnik	57.14
M8.72	Lin	28.57
M8.72	Nunivers	28.57
M8.72	AIC	57.14
M8.72	DAVID	28.57142857142857
M9.26	DF	54.55
M9.26	Ganesan	57.58
